Headlines,Time,Description
Canada's envoy to China says 'misspoke' on Huawei CFO case,Jan 24 2019,"Canada's ambassador to China said he ""misspoke"" when he said Huawei Technologies Co Ltd  Chief Financial Officer Meng Wanzhou had a strong case against extradition to the United States, John McCallum said in a statement on Thursday."
New Mexico AG sues Google for collecting school kids' personal data,Feb 20 2020,"New Mexico Attorney General Hector Balderas on Thursday sued Alphabet Inc's  Google search engine, alleging that its educational software collects young students' personal information without the required parental consent."
States fight bonus pay for CEO of OxyContin maker Purdue,Dec 02 2019,"The chief executive officer of OxyContin-maker Purdue Pharma LP should not collect a potential $1.3 million bonus when he has been accused of contributing to the opioid epidemic, a group of state attorneys general said in a court filing on Monday."
VW to intensify talks with Northvolt on battery project: Boersen-Zeitung,May 25 2019,"Volkswagen is intensifying talks with Swedish startup Northvolt on plans to jointly build up battery cell production in Salzgitter, near its headquarters in Lower Saxony, one of its board members told a German newspaper."
Cadillac edges Tesla in semi-automated driving test,Oct 04 2018,General Motors Co’s  Cadillac outscored Tesla Inc  in a new ranking of partially automated driving systems tested by Consumer Reports and released on Thursday.
"Jaguar Land Rover to cut 4,500 jobs, mainly in Britain",Jan 10 2019,"Britain's biggest carmaker Jaguar Land Rover said it will cut around 4,500 jobs, mainly in its home market, as it tries to tackle a slowdown in China and a slump in demand for its diesel-powered vehicles."
J&J blockbuster loses ground to biosimilars despite Quebec court ruling,Nov 13 2019,"Johnson & Johnson's Remicade, a blockbuster drug that treats autoimmune disorders, has steadily lost market share among patients enrolled in the Canadian province of Quebec's public drug program, even after a court ruling reinstated full coverage in January, a Reuters analysis of government data shows."
BlackRock cuts stake in scandal-hit Danske Bank to below 5 percent,Jan 30 2019,"BlackRock has cut its holding in Danske Bank, which is embroiled in a major money laundering scandal, Denmark's biggest bank said in a statement."
East African airlines suspend China flights due to coronavirus,Jan 31 2020,Kenya Airways and RwandAir said on Friday that they had suspended all flights to and from China until further notice after a virus outbreak killed more than 200 people in China and spread to 18 countries.
U.S. Drug distributors propose $10 billion to end state lawsuits over opioids: Bloomberg,Aug 06 2019,"Drug wholesalers AmerisourceBergen Corp , McKesson Corp  and Cardinal Health Inc  have proposed a $10 billion settlement for claims that they played a part in the U.S. opioid epidemic, Bloomberg reported on Tuesday, citing people familiar with negotiations."
Tesla starts building Long Range Model 3 cars at China plant,May 14 2020,U.S. electric vehicle maker Tesla Inc  said on Thursday it had started producing Long Range Model 3 vehicles in its Shanghai factory and aimed to deliver them to customers soon.
Nissan CEO calls for Renault board to review Ghosn findings,Jan 14 2019,"Nissan  expects alliance partner Renault's  board to back its ousting of Chairman Carlos Ghosn once it sees evidence from the Japanese carmaker's investigation, Chief Executive Hiroto Saikawa said in a Monday newspaper interview."
U.S. regulator is reviewing Abbott's fast COVID test after studies raise accuracy concerns,May 15 2020,"The U.S. Food and Drug Administration said on Thursday that Abbott Laboratories’  speedy coronavirus test, which can deliver results within minutes and is used at the White House, could potentially be inaccurate but can still be used to test patients."
BlackBerry to buy cybersecurity firm Cylance for $1.4 billion,Nov 16 2018,BlackBerry Ltd raised its bets on artificial intelligence and cybersecurity on Friday with the $1.4 billion purchase of California-based machine-learning specialists Cylance.
Elliott presses SoftBank to identify $10 billion of investments it holds: sources,Feb 28 2020,"Elliott Management Corp is pressing SoftBank Group Corp  for details of nearly-$10 billion of investment securities on its balance sheet, as part of its campaign to improve the value of the Japanese conglomerate in which it holds a stake, sources said."
Air France-KLM CEO forfeits bonus under Dutch pressure,Apr 23 2020,"Air France-KLM  Chief Executive Ben Smith said on Thursday he had given up his 2020 bonus, after a Dutch minister urged executive pay restraint in return for the billions of euros in government aid sought by the airline group."
AccorHotels to decide on Huazhu board seat after Huazhu buys stake in company,May 22 2018,AccorHotels  said on Tuesday it will decide in the coming weeks whether to grant Huazhu Hotels  a board seat after the Chinese hospitality group bought 4.5 percent of its capital.
Saudi SABIC lifts Swiss chemicals maker Clariant stake,Mar 03 2020,Chemical giant Saudi Basic Industries Corporation (SABIC)  said on Tuesday that it had raised its stake in Swiss chemicals maker Clariant  to 31.5% from 25%.
What to look for in the Fed's U.S. economic outlook,Jun 09 2020,"U.S. Federal Reserve policymakers on Wednesday will publish their first economic projections since the coronavirus pandemic set off a recession in February, estimates expected to signal a collapse in output this year and near-zero interest rates for the next few years."
Lloyds and Barclays hit by $4 billion insurance mis-selling claims,Sep 09 2019,"Lloyds  and Barclays  on Monday said a surge in late claims could see them pay out around $2 billion more each to settle Britain's costliest consumer banking scandal, the mis-selling of payment protection insurance (PPI)."
Saudi crown prince expects economic growth of 2.5 percent in 2018,Oct 24 2018,"Saudi Crown Prince Mohammed bin Salman said on Wednesday the kingdom will continue with reforms and spending on infrastructure, predicting the economy will grow by 2.5 percent this year."
South Korea says may retaliate against Japan high-tech export curbs,Jul 04 2019,"South Korea said on Thursday it may retaliate against Japan's latest export limits on high-tech materials, as a row over forced wartime labor threatened to disrupt global supplies of memory chips and smartphones."
"'Death Cross,' growth abroad threaten U.S. dollar",Jan 22 2020,"Storm clouds are gathering over the U.S. dollar, threatening a two-year rally in the currency that has squeezed corporate profits and angered President Donald Trump."
Trump says Fed raising rates was a mistake: CNBC,Jan 22 2020,"The United States' economy would be growing at a pace near 4% if wasn't for the lingering effect of Federal Reserve rate hikes, President Donald Trump told CNBC in an interview on Wednesday."
Exclusive: London Metal Exchange to delay ban on tainted metal until 2025 - sources,Sep 18 2019,"The London Metal Exchange (LME) will postpone plans to ban metal tainted by human rights abuses until 2025, giving producers three more years to comply with guidelines and the exchange time to rethink its approach, industry sources said."
Airbus says tougher to meet jet delivery goal after snags,Oct 31 2018,"European planemaker Airbus softened its key target for jet deliveries on Wednesday and warned that reaching it would be a ""greater stretch"" after a sequence of industrial problems."
Tweak to U.S. payment to banks may bolster Fed's credibility,May 02 2019,A small cut to an interest rate little known beyond Wall Street could lead to a big payoff for the Federal Reserve's most important asset: its credibility.
China ready to hit back at U.S. with rare earths: newspapers,May 30 2019,"China is ready to use rare earths to strike back in a trade war with the United States, Chinese newspapers warned on Wednesday in strongly worded commentaries on a move that would escalate tensions between the world's two largest economies."
"Netflix shares plunge as global growth falls short, U.S. customers shrink",Jul 18 2019,"Netflix Inc  said on Wednesday it lost U.S. streaming customers for the first time in eight years and missed targets for new subscribers overseas, an announcement that jarred investors ahead of looming competition."
"T-Mobile spent $195,000 at Trump Hotel in D.C. since merger announcement",Mar 05 2019,"T-Mobile Us Inc's chief executive, John Legere, and other company leaders have spent $195,000 on hotel stays and other expenses at the Trump International Hotel in Washington since the company sought approval for a $26 billion merger with Sprint last April, documents released on Tuesday show."
Brazil set to start QE cautiously but may need to bring out 'bazooka',Apr 20 2020,"Brazil appears set to embark cautiously on unconventional monetary policy using small interventions to tackle dysfunction in bond markets, as it does with foreign exchange, but the severity of the crisis may ultimately force it to emulate the dramatic steps taken in the United States and Europe."
Bond yields rise worldwide on stimulus concerns; earnings loom,Jul 23 2018,"Fear that U.S. and Japanese policymakers will scale back economic stimulus sent quivers through debt markets on Monday, while U.S. stocks gained ahead of major company earnings reports."
Blackstone adds Alphabet CFO Ruth Porat to its board,Jun 25 2020,"Blackstone Group Inc  said on Thursday Alphabet Inc's  finance chief, Ruth Porat, will join the private equity firm's board of directors."
Arrested Nissan executive Kelly says Ghosn paid appropriately: NHK,Nov 24 2018,"A former Nissan Motor  executive arrested along with ex-chairman Carlos Ghosn has defended Ghosn's compensation, saying it was discussed with other officials and paid out appropriately, Japanese public broadcaster NHK said on Saturday."
Taiwan's Foxconn calls Sino-U.S. trade spat a 'tech war',Jun 22 2018,"Foxconn, the world's largest electronics contract manufacturer, on Friday said the U.S. and Chinese governments are engaged in a technology war, not a trade war, describing the spat as the biggest challenge the Taiwanese company is facing."
"U.S., China face deep trade, IP differences in high-level talks",Jan 30 2019,The United States and China launch a critical round of trade talks on Wednesday amid deep differences over Washington's demands for structural economic reforms from Beijing that will make it difficult to reach a deal before a March 2 U.S. tariff hike.
"As Zuckerberg heads to Brussels, British lawmakers ask for answers",May 22 2018,"British lawmakers want their European counterparts to quiz Facebook FB.O CEO Mark Zuckerberg about a scandal over improper use of millions of Facebook users' data, as he will not give evidence in London himself."
Trump's auto tariff plan threatens GM's $7 billion South Korea rescue,May 30 2018,"Fresh off a $7 billion rescue for its loss-making South Korean operation, General Motors  faces a new threat as U.S. President Donald Trump considers higher vehicle import tariffs that could ""make or break"" its Asian subsidiary."
Wall Street nosedives as investors flee on trade war fears,Mar 23 2018,"Wall Street tumbled on Friday with more than 1,000 points knocked off the Dow in two days as investors, increasingly nervous about a potential U.S. trade war with China, shied away from risk ahead of the weekend and sought shelter from further losses."
"As Aramco hails record IPO, Abu Dhabi's ADNOC whips up $19 billion",Jan 15 2020,"The talk's all been about Saudi Aramco, and the suspense of its historic drive to whip up international cash. But, more quietly, its Gulf oil peer ADNOC has also been courting foreign funds - and its efforts compare favorably."
NIBC agrees to Blackstone's reduced takeover offer,Jul 13 2020,"NIBC  has agreed to a proposed takeover by Blackstone , the Dutch bank said on Monday, despite the U.S. private equity firm lowering its bid in light of the COVID-19 pandemic."
Alibaba puts CFO in charge of investment in major management reshuffle,Jun 18 2019,"China's Alibaba Group Holding Ltd on Tuesday unveiled its most significant business reshuffle since co-founder Jack Ma announced his pending retirement, as the e-commerce firm looks to bolster its investment focus in the face of slowing growth."
Goldman Sachs sees 'modest' emerging market rebound in 2019,Nov 20 2018,"Investment bank Goldman Sachs said on Tuesday that it expected emerging market shares, currencies and bonds to see a modest rebound next year."
Global stocks drop on fears of expanding trade war,May 31 2019,Global equities tumbled and safe-haven sovereign bonds surged Friday after U.S. President Donald Trump's unexpected threat of tariffs on Mexican goods added to fears that escalating trade wars will push the U.S. and other major economies into recession.
Major U.S. airlines cancel China flights as government steps up warnings,Jan 31 2020,"All three major U.S. airlines announced the cancellation of flights to mainland China on Friday as the U.S. government unveiled additional steps to curb the spread of the coronavirus, which originated in China."
Factbox: Top S&P 500 companies exposed to China,Mar 21 2018,"Investor worries about a trade war between the United States and China ratcheted up on Wednesday, leaving a number of large U.S. companies potentially in the crosshairs of a dispute because of their business with China."
Fiat Chrysler boss Manley to head European auto lobby group ACEA,Dec 12 2019,"The European carmakers' association (ACEA) has appointed Fiat Chrysler  Chief Executive Mike Manley as its new president from January 2020, it said on Thursday."
"World stocks rebound, U.S. yields above 15-month lows",Mar 26 2019,Global stock markets broadly rebounded on Tuesday after a two-day swoon while benchmark U.S. Treasury yields steadied above 15-month lows as risk appetite improved after worries of a recession clouded trading since late last week.
"South Korea, Japan to hold export control talks via teleconference, Jiji says",Mar 05 2020,"South Korea and Japan will hold export control talks originally planned for March 10 in Seoul via teleconference, the Jiji news agency reported on Friday, reflecting the widening impact of the coronavirus outbreak."
Global airlines call for government aid and United warns of cuts to U.S. routes,Mar 12 2020,"Airlines on Thursday appealed for urgent government financial support as U.S. carriers rushed to cut flights to Europe in the wake of new U.S. travel restrictions aimed at combating the coronavirus outbreak, while United Airlines warned of U.S. travel disruption as the virus spreads domestically."
China limits number of rides drivers can offer through car-pooling services,Nov 28 2019,"China's Ministry of Transport said car-pooling services have to limit the daily number of rides drivers can offer through apps such as Didi Chuxing's Hitch, which began trial operations this month a year after passenger deaths left the service suspended."
Deutsche Telekom postpones shareholder meeting over coronavirus,Mar 16 2020,"Deutsche Telekom  on Monday postponed its March 26 annual general shareholders meeting due to the coronavirus, saying it planned to hold the gathering during the first eight months of this year as required by law."
"Oil breaks above $60/bbl, but doubts about growth curb gains",Nov 26 2018,"Oil prices rose nearly 3 percent on Monday, clawing back some of last week's steep losses, but gains were capped by uncertainty over global economic growth and further signs of increasing supply, including record Saudi production."
German carmakers to resume production as lockdowns ease,Apr 16 2020,German carmakers including Volkswagen  and Mercedes-Benz  will restart production at some German factories next week after the country eased restrictions designed to contain the coronavirus outbreak.
Hard Brexit could ground UK flights for three weeks: Ryanair CEO,Oct 17 2018,"A hard Brexit could ground UK flights for up to three weeks but would be survivable for Ryanair , the Irish budget airline's CEO Michael O'Leary said ahead of a meeting of European Union leaders in Brussels on Wednesday."
Air France faces new strikes over domestic network cuts,Feb 19 2020,"Air France  unions have called for strikes at its domestic carrier Hop as pilots seek improved pay and conditions and ground staff press for job guarantees, union officials said."
Exclusive: Microsoft's $7.5 billion GitHub deal set for EU approval - sources,Oct 08 2018,"U.S. software giant Microsoft  is set to win unconditional EU antitrust approval for its $7.5 billion purchase of privately held coding website GitHub, two people familiar with the matter said on Monday."
Pelosi had 'productive meeting' with U.S. trade representative on deal: aide,May 15 2019,"U.S. House of Representatives Speaker Nancy Pelosi had a ""productive meeting"" with U.S. Trade Representative Robert Lighthizer almost entirely focused on a new United States-Mexico-Canada (USMCA) trade deal, one of her aides said on Wednesday."
Apptio to go private in $1.94 billion with Vista Equity Partners,Nov 12 2018,"Software company Apptio Inc  said on Sunday it agreed to be bought by private equity firm Vista Equity Partners for $1.94 billion in cash, two years after going public."
"Brazil narrows field to China, Russia, France for Angra 3 nuclear partner",Oct 24 2019,"(This October 23 story corrects paragraph 8; Westinghouse owned by Brookfield Business Partners, not Toshiba Corp as erroneously reported)"
"Microsoft wants to invest in Indonesia data centers, says Indonesian president",Feb 27 2020,"Microsoft Corp is keen to invest in data centers in Indonesia which will soon make regulatory changes to facilitate the move, the country's president said after meeting with the software giant's CEO on Thursday."
Oil steady as attack in Syria supports but U.S. crude stocks weigh,Oct 09 2019,"Oil futures were mixed on Wednesday as a Turkey-launched offensive in Syria and hopes of progress in ending the U.S.-China trade war supported oil, but a build in U.S. crude inventories held prices back."
Ruth's Chris owner to speed repayment of $20 million federal rescue loan,Apr 23 2020,"Ruth's Hospitality Group Inc, owner of the Ruth's Chris Steak House chain of restaurants, on Thursday said it would quickly repay $20 million of federal rescue loans it received to help maintain payroll through the coronavirus crisis, a program aimed at small businesses."
"Global stocks end 2019 near record highs, dollar slides",Dec 31 2019,"The dollar slid to a six-month low on Tuesday as progress on U.S.-China trade tensions led investors to higher-risk assets, while a year-end rally that lifted global equity markets to record highs stayed alive on the last trading day of 2019."
Bayer nears seven-year low after $2 billion award in Roundup trial,May 14 2019,Bayer shares fell by as much as 5 percent on Tuesday after a California couple were awarded more than $2 billion in the largest U.S. jury penalty over allegations its Roundup weed killer causes cancer.
Exclusive: Ford likely to end independent India business with new Mahindra deal - sources,Apr 09 2019,"Ford Motor Co is nearing a deal with Mahindra & Mahindra to form a new joint-venture company in India, a move that will likely see the U.S. automaker cease independent operations in the country, two sources with direct knowledge of the talks told Reuters."
Trump: 'ahead of schedule' on China trade deal,Oct 28 2019,U.S. President Donald Trump said on Monday he expected to sign a significant part of the trade deal with China ahead of schedule but did not elaborate on the timing.
GE still sees $1.4 billion cash cost from Boeing 737 MAX grounding in 2019,Oct 30 2019,"General Electric Co  still expects the grounding of Boeing Co's  737 MAX jetliner to reduce its cash flow by $1.4 billion in 2019, provided the aircraft remains grounded all year, GE Chief Executive Larry Culp said during a conference call on quarterly earnings on Wednesday."
Global stocks tumble on souring sentiment; oil falls,Oct 18 2018,"Stocks fell sharply on Thursday while the Japanese yen rose in a move toward safety assets, with traders citing the Sino-U.S. trade war, Italy's budget concerns and a widening gap between the United States and Saudi Arabia."
American Airlines CEO says burning less cash but demand outlook still uncertain,Jun 10 2020,"American Airlines Chief Executive Doug Parker said on Wednesday that he expects a daily cash burn of about $40 million in June, down from a previous forecast of $50 million per day, thanks to cost-savings measures to address the coronavirus pandemic."
"Altice, Dish urge U.S. to intervene in T-Mobile-Sprint deal",Aug 28 2018,"U.S. cable and satellite TV providers Altice USA Inc  and Dish Network Corp  have urged U.S. regulators not to approve the planned merger between T-Mobile US Inc  and Sprint Corp  in its current form, according to filings published on Tuesday."
Hasbro blames Toys 'R' Us for poor first quarter,Apr 23 2018,"Hasbro Inc  reported worse than expected results for the first quarter on Monday, blaming the bankruptcy of Toys 'R' Us for a slide in revenue but also promising the worst would be over in the first half of 2018."
"Canada, isolated over Huawei 5G, is studying British decision",Jan 28 2020,"Canada, the only member of an elite intelligence-sharing network yet to decide whether to allow the use of Huawei Technologies Co Ltd 5G technology, on Tuesday said it was studying Britain's decision not to ban the Chinese telecoms giant from the West's next-generation communications."
Hong Kong's bourse brushes off Chinese snub over dual-class shares,Jul 16 2018,"Hong Kong's exchange described as ""temporary"" a dispute with its Shanghai and Shenzhen counterparts over plans to bar investor access to dual-class shares, as shares in smartphone maker Xiaomi Corp  recovered from the depths of its 10-percent slide on Monday."
Gold surges on Mideast risk but stocks pare losses,Jan 06 2020,"Gold prices shot to an almost seven-year high on Monday as U.S.-Iranian tensions drove demand for safe-haven assets and pushed a gauge of global equity markets lower, but shares on Wall Street rebounded on a less worrisome view of events."
Amazon says CEO Bezos willing to testify before Congress: NYT,Jun 15 2020,"Amazon.com Inc Chief Executive Officer Jeff Bezos is willing to testify before a House antitrust investigation into the market power of major tech companies, the New York Times reported https://www.nytimes.com/2020/06/15/technology/amazon-jeff-bezos-congress.html on Monday, citing a lawyer for Amazon who wrote to lawmakers."
Daly appointment shows diversity gap between regional Feds,Sep 14 2018,The appointment of Mary Daly as the second-ever woman to head up the San Francisco Federal Reserve makes plain that some regional central banks continue to make strides in creating a diverse leadership as criticism intensifies about the Fed's hiring policies while others fall behind.
"Ryanair can bide its time for better plane deals, says O'Leary",Oct 01 2019,"Ryanair  can wait out price rises sought by planemakers since the global grounding of the Boeing 737 MAX, the Irish airline's boss said on Tuesday."
BNP Paribas CEO rules out big deals when asked about Deutsche Bank,May 24 2018,"BNP Paribas  chief executive Jean-Laurent Bonnafe effectively ruled out a tie-up with struggling German rival Deutsche Bank  on Thursday, saying the French lender is not considering any large takeovers or mergers."
"Dish Network cuts jobs, re-evaluates business in coronavirus fallout",Apr 13 2020,"Dish Network Corp  has cut staff and is re-evaluating  its business to cope better with the fallout from the coronavirus pandemic, the U.S. satellite TV provider told Reuters, without disclosing the number of employees laid off."
"P&G operating margin, grooming product sales dip on strong dollar; shares drop",Apr 23 2019,"Procter & Gamble Co reported a decline in its third-quarter operating margin on Tuesday and said a strong U.S. dollar hurt sales of its grooming products, sending shares of the maker of Tide and Gillette products down as much as 3.3%."
"China, EU lambast United States for miring WTO in crisis",Dec 17 2018,"The United States came under fire from China and the European Union on Monday, accused by both major trading partners of taking protectionist measures and bringing the World Trade Organization (WTO) to its knees."
U..S can quickly recover lost farm trade to China once deal clinched: Ag Secy,Feb 21 2019,"The United States will be able to quickly recover lost markets for U.S. farm products to China once Washington and Beijing clinch a trade deal, U.S. Agriculture Secretary Sonny Perdue said on Thursday."
U.S. President Donald Trump meets China's Liu He: CCTV,May 17 2018,"Chinese Vice Premier Liu He, who is leading a trade delegation in Washington, has met U.S. President Donald Trump, state broadcaster China Central Television said on Friday."
Former Nissan boss Ghosn's wife says he may not get fair trial in Japan: CNBC,Sep 26 2019,"Carole Ghosn, the wife of former Nissan  Chairman and Chief Executive Officer Carlos Ghosn, on Thursday raised doubts about her husband getting a fair trial in Japan in an interview to CNBC."
China posts scant rise in outbound investment in 2018 amid outflow curbs,Jan 16 2019,China's overseas investment rose only marginally in 2018 as the yuan weakened and regulators cracked down on deals that were suspected to be skirting controls on moving money out of the country.
Trump says 'not even a little bit happy' with Fed's Powell: report,Nov 27 2018,"U.S. President Donald Trump on Tuesday kept up his criticism of Federal Reserve Chairman Jerome Powell, saying rising interest rates and other Fed policies were damaging the U.S. economy, the Washington Post said."
Zoom says added over 100 features as part of 90-day security plan,Jul 01 2020,Zoom Video Communications Inc said on Wednesday it has added over 100 features to its video conferencing as part of its 90-day plan to address security and privacy concerns.
Tech sector pushes the S&P 500 to slight gain,Jan 22 2020,"Technology shares led the S&P 500 marginally higher on Wednesday, as a healthy forecast from IBM helped mitigate worries over the developing coronavirus outbreak."
"As FAANG stocks falter, fund managers make bets on survivors",Dec 22 2018,A bear market in the so-called FAANG stocks - Wall Street's most popular trade going into the year - is pushing fund managers into searching for the next big growth companies that can lead the overall market higher.
Japan downgrades second-quarter GDP as trade war hits business investment,Sep 09 2019,"Japan's economy grew at a slower pace than initially estimated in the second quarter as the U.S.-China trade war prompted a downward revision of business spending, intensifying calls for the central bank to deepen stimulus this month."
Trump tariffs force companies to rework supply chains,Jun 25 2018,"From global manufacturers such as Harley-Davidson Inc  to small tech startups, companies are scrambling to rework supply chains built for an era of stable, open trade policy that is now under threat."
U.S. Justice Department to curb bid-rigging in government purchases,Nov 15 2018,"The U.S. Justice Department plans to be more aggressive in pressing antitrust charges against companies that have rigged bids for government contracts, the agency's antitrust chief said on Thursday."
"U.S. tech funds turn to Visa, Paypal as FANGs fade",Oct 24 2018,Some tech-heavy U.S. fund managers have turned to the once-stodgy payments sector as an alternative to so-called FANG stocks as high-flyers like Facebook Inc  and Google parent Alphabet Inc  falter.
China's industrial output to grow around 5.6% year-on-year in 2019: ministry,Dec 22 2019,"China's industrial output is expected to grow around 5.6% in 2019, the Ministry of Industry and Information Technology said on Monday."
"U.S. consumer confidence rebounds, house prices increase",May 29 2018,"Consumer confidence rebounded in May, but households were a bit pessimistic about their short-term income prospects even as they  expected strong job growth to persist, which could restrain consumer spending."
Trump says he will seek U.S. trade accord with Brazil,Jul 30 2019,"President Donald Trump on Tuesday said he will pursue a U.S. trade agreement with Brazil, suggesting a friendly relationship with President Jair Bolsonaro could help lower trade barriers between the two biggest economies in the Americas."
Powell's whatever-it-takes pledge puts limits of Fed's reach in spotlight,Mar 16 2020,Federal Reserve Chair Jerome Powell's message in announcing a barrage of monetary policy and liquidity actions was clear: The U.S. central bank will use all the tools at its disposal to keep credit flowing through the U.S. and global financial system.
"BMW expands UK vehicle recall to 390,000 cars",May 18 2018,"BMW  is expanding a recall of vehicles in Britain, which it launched last week, by 88,000 cars to a total of 390,000, in the wake of a BBC investigation which found that some vehicles could cut out completely while being driven."
"Factbox: Snakes and ladders - SoftBank Vision Fund's climbing, sliding valuations",Oct 10 2019,"The $100 billion Vision Fund of Japan's SoftBank Group Corp  has in just over two years burnt through much of its capital investing in money-losing, late-stage tech startups in areas as varied as autonomous driving, healthcare and finance."
Carlyle to buy 25% of Bharti Airtel's data center arm for $235 million,Jun 30 2020,"Carlyle will buy a 25% stake in Indian telecom firm Bharti Airtel Ltd's data center arm for $235 million, the U.S. private equity group said on Wednesday, as it taps into the rapid growth of digital services in India."
Nestle to launch ruby chocolate KitKat in Europe and Americas,Apr 10 2018,"Nestle  will launch a ruby chocolate version of its KitKat brand in Europe next week after it made its debut this year in Japan and South Korea, the Swiss food group said on Tuesday."
Banks back Democrats in bid to rebuild bipartisan support,Oct 06 2018,Banks are going to bat for Democrats in the U.S. November midterm congressional elections as part of an ambitious strategy to rebuild the bipartisan support they enjoyed before the 2007-2009 financial crisis.
Credit Suisse CEO sees business 'going in right direction',Jun 10 2020,"Business conditions are improving after a tough start to the year, Credit Suisse  Chief Executive Thomas Gottstein said in a presentation released on Wednesday."
Gold gains as trade concerns weigh on global markets,Aug 09 2019,"Signs of further escalation of the U.S.-China trade war and weak UK economic data weighed on global markets on Friday, capping a volatile week that has pushed gold to its highest level in six years."
General Motors says in talks to invest $2.73 billion in Brazil till 2024,Feb 02 2019,"General Motors Co said on Saturday it is negotiating ""feasibility conditions"" to invest 10 billion reais ($2.73 billion) in Brazil from 2020 to 2024, after having warned last month that new investments would depend on returning to profit."
Apple welcomes court ruling against EU tax order,Jul 15 2020,Apple said on Wednesday that it was pleased that Europe's second-top court had rejected an EU order to the iPhone maker to pay 13 billion euros ($14.78 billion) in Irish back taxes.
Factbox: U.S. coal-fired power plants scheduled to shut,Oct 29 2019,"U.S. power companies expect to retire or convert from coal to gas over 13,800 megawatts (MW) of coal-fired plants in 2019 after shutting over 13,300 MW in 2018, according to U.S. Energy Information Administration (EIA) and Thomson Reuters data."
"UK, U.S. and industry officials to meet before Huawei decision: Downing Street",Jan 13 2020,"Officials from the British and U.S. governments and the telecoms industry will meet on Monday, before Britain is due to take a decision on the possible use of Huawei [HWT.UL] equipment in future 5G mobile networks, Prime Minister Boris Johnson's spokesman said."
Toyota strengthens Japan partnerships with bigger Subaru stake,Sep 27 2019,"Toyota Motor Corp  will raise its stake in Subaru Corp  to 20% from around 17%, the two Japanese automakers said on Friday, as they leverage their scale to better compete in developing new vehicle technologies."
"Trump ups ante on China, threatens duties on nearly all its imports",Sep 08 2018,"U.S. President Donald Trump warned on Friday he was ready to slap tariffs on virtually all Chinese imports into the United States, threatening duties on another $267 billion of goods on top of $200 billion in imports primed for levies in coming days."
Bayer gets Monsanto profit boost but legal burden mounts,Apr 25 2019,"German drug and farming supplies company Bayer posted a 45 percent gain in quarterly core earnings thanks to the acquisition of seed maker Monsanto, while the legal burden it took on with the deal mounted."
Amazon secures top Champions League rights for Germany,Dec 10 2019,"Amazon.com has secured the rights to broadcast top European soccer Champions League matches for the 2021/22 season in Germany, the U.S. company said on Tuesday."
Boeing's new 737 MAX flight control system 'seems foolproof': Norwegian CEO,Apr 03 2019,"Boeing's new MCAS flight control system for its 737 MAX aircraft appears foolproof, Norwegian Air Chief Executive Bjoern Kjos said on Wednesday after visiting the plane maker in Seattle."
Exclusive: Airbus puts six jets made for AirAsia up for sale as crisis deepens,Apr 20 2020,"Airbus  has put six jets made for one of its largest customers up for sale after giving up on Malaysia's AirAsia  taking delivery of them, sources familiar with the matter told Reuters."
Boeing wins $2.46 billion U.S. defense contract: Pentagon,Jan 25 2019,"The Boeing Cowon a $2.46 billion U.S. defense contract for the production and delivery of 19 P-8A Poseidon long-range anti-submarine warfare and surveillance aircraft and other equipment, the Pentagon said in a statement on Friday."
China factory gate deflation deepens on global demand slump,Jun 09 2020,"China's producer prices fell by the sharpest rate in more than four years, underscoring pressure on the manufacturing sector as the COVID-19 pandemic reduces trade flows and global demand."
U.S. weekly jobless claims race to more than two-year high,Dec 12 2019,"The number of Americans filing applications for unemployment benefits jumped to more than a two-year high last week, but that probably does not signal a pickup in layoffs as the claims data tends to be volatile in the period following the Thanksgiving Day holiday."
Multi-strategy hedge funds outperformed peers as market plunged,Apr 01 2020,"Multi-strategy hedge funds - those that bet on a broad array of markets using teams of traders, leverage and centralized risk management - have flourished as stocks ended their worst three months since the 2008 financial crisis."
"Xilinx resumes some Huawei sales, but lower forecast sends shares down",Jul 24 2019,"Xilinx Inc  said it had resumed some sales to Huawei Technologies Co Ltd but forecast current-quarter revenue below Wall Street estimates on Wednesday, citing the impact of U.S. restrictions on selling to the Chinese telecommunications firm."
"Hedge funds hold their nerve on China, seek opportunities",Feb 04 2020,"Hedge funds are holding their nerve on China's ability to rebound quickly from a coronavirus outbreak that has rattled global markets, but many are also adding caveats as they try to predict the potential economic fallout."
"HSBC first-half profit rises 16%, announces $1 billion buyback",Aug 04 2019,"HSBC  reported on Monday its first-half pretax profit rose 15.9% and announced a further buyback of $1 billion, defying some analysts' expectations it might pause its strategy of returning extra capital to investors."
Wall Street rises but pares gains late after report of FBI raid,Apr 09 2018,"Wall Street's major indexes rose on Monday as a softer stance by U.S. policymakers on China tariffs powered a rebound from last week's selloff, but stocks pared much of their gains late in the session after a report that the Federal Bureau of Investigation raided the office of President Donald Trump's lawyer."
"Bombardier's surprise forecast cut rattles stock, bond investors",Apr 25 2019,"Canada's Bombardier Inc cut its full-year profit and revenue forecasts on Thursday as it wrestled with production challenges in its key railcar-making unit, rattling markets ahead of the company's annual general meeting next week."
CBS expands NFL streaming rights to include mobile devices,Jun 25 2018,"CBS Corp  on Monday expanded its streaming agreement with National Football League to include mobile devices and extended the rights through the 2022 season, the media company said."
JPMorgan close to winning lead advisory role for Saudi Aramco IPO: source,Sep 09 2019,"JPMorgan Chase & Co  is close to winning the lead advisory role for Saudi Aramco's initial public offering, a source familiar with the situation said on Sunday."
